ability_1,ability_10,ability_11,ability_12,ability_13,ability_14,ability_15,ability_16,ability_17,ability_18,ability_19,ability_2,ability_20,ability_3,ability_4,ability_5,ability_6,ability_7,ability_8,ability_9,armor_class,challenge,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,dexterity,hit_points,intelligence,languages,misc,name,saving_throws,senses,short_desc,skills,speed,strength,url,wisdom
"Spellcasting.;; The apprentice is a 1st-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 12, +4 to hit with spell attacks). It has the following wizard spells prepared:",,,,,,,,,,,"||ADDENDUM||Cantrips (at will): fire bolt, mending, prestidigitation",,"||ADDENDUM||1st level (2 slots): burning hands, disguise self, shield","Dagger.;; Melee or Ranged Weapon Attack: +2 to hit, reach 5 ft. or range 20/60 ft, one target. Hit: 2 (1d4) piercing damage.",,,,,,10,1/4 (50 XP),11 (0),,10 (0),,,10 (0),9 (2d8),14 (+2),any one language (usually Common),,Apprentice Wizard,,,"Medium humanoid (any race), any alignment","Arcana +4, History +4",30 ft.,10 (0),http://chisaipete.github.io/bestiary/creature/apprentice-wizard,10 (0)
Innate Spellcasting.;; The hag’s innate spellcasting ability is Charisma (spell save DC 13). She can innately cast the following spells:,"||ADDENDUM||4th level (3 slots): blight, death ward","||ADDENDUM||5th level (2 slots): contagion, raise dead",||ADDENDUM||6th level (1 slot): circle of death,"Variant: Nature Coven.;; For a nature coven, replace the spell list of the hags’ Shared Spellcasting trait with the folllowing spells:","||ADDENDUM||1st level (4 slots): entangle, speak with animals","||ADDENDUM||2nd level (3 slots): flaming sphere, moonbeam, spike growth","||ADDENDUM||3rd level (3 slots): call lightning, plant growth","||ADDENDUM||4th level (3 slots): dominate beast, grasping vine","||ADDENDUM||5th level (2 slots): insect plague, tree stride",||ADDENDUM||6th level (1 slot): wall of thorns,"||ADDENDUM||3/day each: disguise self (including the form of a Medium humanoid), fog cloud","Variant: Prophecy Coven.;; For a prophecy coven, replace the spell list of the hags’ Shared Spellcasting trait with the folllowing spells:","Hag Coven.;; When hags must work together, they form covens, in spite of their selfish natures. A coven is made up of hags of any type, all of whom are equals within the group. However, each of the hags continues to desire more personal power.","Shared Spellcasting (Coven Only).;; While all three members of a hag coven are within 30 feet of one another, they can each cast the following spells from the wizard’s spell list but must share the spell slots among themselves:","Hag Eye (Coven Only).;; A hag coven can craft a magic item called a hag eye, which is made from a real eye coated in varnish and often fitted to a pendant or other wearable item. The hag eye is usually entrusted to a minion for safekeeping and transport. A hag in the coven can take an action to see what the hag eye sees if the hag eye is on the same plane of existence. A hag eye has AC 10, 1 hit point, and darkvision with a radius of 60 feet. If it is destroyed, each coven member takes 3d10 psychic damage and is blinded for 24 hours.","Variant: Death Coven.;; For a death coven, replace the spell list of the hags’ Shared Spellcasting trait with the folllowing spells:","||ADDENDUM||1st level (4 slots): false life, inflict wounds","||ADDENDUM||2nd level (3 slots): gentle repose, ray of enfeeblement","||ADDENDUM||3rd level (3 slots): animate dead, revivify, speak with dead",17 (natural armor),"6 (2,300 XP)",15 (+2),,14 (+2),,"cold; bludgeoning, piercing, and slashing from nonmagical attacks",12 (+1),75 (10d10+20),13 (+1),"Common, Giant, Sylvan","Innate Spellcasting.;; The hag’s innate spellcasting ability is Charisma (spell save DC 13). She can innately cast the following spells:||ADDENDUM||3/day each: disguise self (including the form of a Medium humanoid), fog cloudHag Coven.;; When hags must work together, they form covens, in spite of their selfish natures. A coven is made up of hags of any type, all of whom are equals within the group. However, each of the hags continues to desire more personal power.Shared Spellcasting (Coven Only).;; While all three members of a hag coven are within 30 feet of one another, they can each cast the following spells from the wizard’s spell list but must share the spell slots among themselves:Hag Eye (Coven Only).;; A hag coven can craft a magic item called a hag eye, which is made from a real eye coated in varnish and often fitted to a pendant or other wearable item. The hag eye is usually entrusted to a minion for safekeeping and transport. A hag in the coven can take an action to see what the hag eye sees if the hag eye is on the same plane of existence. A hag eye has AC 10, 1 hit point, and darkvision with a radius of 60 feet. If it is destroyed, each coven member takes 3d10 psychic damage and is blinded for 24 hours.Variant: Death Coven.;; For a death coven, replace the spell list of the hags’ Shared Spellcasting trait with the folllowing spells:||ADDENDUM||1st level (4 slots): false life, inflict wounds||ADDENDUM||2nd level (3 slots): gentle repose, ray of enfeeblement||ADDENDUM||3rd level (3 slots): animate dead, revivify, speak with dead||ADDENDUM||4th level (3 slots): blight, death ward||ADDENDUM||5th level (2 slots): contagion, raise dead||ADDENDUM||6th level (1 slot): circle of deathVariant: Nature Coven.;; For a nature coven, replace the spell list of the hags’ Shared Spellcasting trait with the folllowing spells:||ADDENDUM||1st level (4 slots): entangle, speak with animals||ADDENDUM||2nd level (3 slots): flaming sphere, moonbeam, spike growth||ADDENDUM||3rd level (3 slots): call lightning, plant growth||ADDENDUM||4th level (3 slots): dominate beast, grasping vine||ADDENDUM||5th level (2 slots): insect plague, tree stride||ADDENDUM||6th level (1 slot): wall of thornsVariant: Prophecy Coven.;; For a prophecy coven, replace the spell list of the hags’ Shared Spellcasting trait with the folllowing spells:||ADDENDUM||1st level (4 slots): bane, bless||ADDENDUM||2nd level (3 slots): augury, detect thoughts||ADDENDUM||3rd level (3 slots): calirvoyance, dispel magic, nondetection||ADDENDUM||4th level (3 slots): arcane eye, locate creature||ADDENDUM||5th level (2 slots): geas, legend lore||ADDENDUM||6th level (1 slot): true seeingMultiattack.;; The annis makes three attacks: one with her bite and two with her claws.Bite.;; Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 15 (3d6+5) piercing damage.Claw.;; Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 15 (3d6+5) slashing damage.Crushing Hug.;; Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 36 (9d6+5) bludgeoning damage, and the target is grappled (escape DC 15) if it is a Large or smaller creature. Until the grapple ends, the target takes 36 (9d6+5) bludgeoning damage at the start of each of the hag’s turns. The hag can’t make attacks while grappling a creature in this way.",Annis Hag,Con +5,darkvision 60 ft.,"Large fey, chaotic evil","Deception +5, Perception +5",40 ft.,21 (+5),http://chisaipete.github.io/bestiary/creature/annis-hag,14 (+2)
"Undead fortitude.;; If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.",,,,,,,,,,,"Tail.;; Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 18 (4d6 +4) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.",,,,,,,,,14 (natural armor),3 (700 XP),3 (-4),poisoned,15 (+2),poison,,9 (-1),68 (8d12 +16),2 (-4),,,Ankylosaurus Zombie,,"darkvision 60 ft., passive Perception 8","Huge undead, unaligned",,20 ft.,19 (+4),http://chisaipete.github.io/bestiary/creature/ankylosaurus-zombie,6 (-2)
"Tail.;; Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 18 (4d6 + 4) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.",,,,,,,,,,,,,,,,,,,,15 (natural armor),3 (700 XP),5 (-3),,15 (+2),,,11 (0),68 (8d12+16),2 (-4),,,Ankylosaurus,,,"Huge beast, unaligned",,30 ft.,19 (+4),http://chisaipete.github.io/bestiary/creature/ankylosaurus,12 (+1)
"Bite.;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage plus 3 (1d6) acid damage. If the target is a Large or smaller creature, it is grappled (escape DC 13). Until this grapple ends, the ankheg can bite only the grappled creature and has advantage on attack rolls to do so.",,,,,,,,,,,"Acid Spray (Recharge 6).;; The ankheg spits acid in a line that is 30 ft. long and 5 ft. wide, provided that it has no creature grappled. Each creature in that line must make a DC 13 Dexterity saving throw, taking 10 (3d6) acid damage on a failed save, or half as much damage on a successful one.",,,,,,,,,"14 (natural armor, 11 while prone)",2 (450 XP),6 (-2),,13 (+1),,,11 (0),39 (6d10+6),1 (-5),,,Ankheg,,"darkvision 60 ft., tremorsense 60 ft.","Large monstrosity, unaligned",,"30 ft., burrow 10 ft.",17 (+3),http://chisaipete.github.io/bestiary/creature/ankheg,13 (+1)
"Source.;; tales from the yawning portal,  page 230",,,,,,,,,,,"Constructed Nature.;; An animated table doesn’t require air, food, drink, or sleep.",,"Antimagic Susceptibility.;; The table is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the table must succeed on a Constitution saving throw against the caster’s spell save DC or fall unconscious for 1 minute.","False Appearance.;; While the table remains motionless, it is indistinguishable from a normal table.","Charge.;; If the table moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 9 (2d8) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone.","Ram.;; Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage.",,,,15 (natural armor),2 (450 XP),1 (-5),"blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned",13 (+1),"poison, psychic",,8 (-1),39 (6d10+6),1 (-5),,,Animated Table,,blindsight 60 ft. (blind beyond this radius),"Large construct, unaligned",,40 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/animated-table,3 (-4)
"Antimagic Susceptibility.;; The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster’s spell save DC or fall unconscious for 1 minute.",,,,,,,,,,,"False Appearance.;; While the armor remains motionless, it is indistinguishable from a normal suit of armor.",,Multiattack.;; The armor makes two melee attacks.,"Slam.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",,,,,,18 (natural armor),1 (200 XP),1 (-5),"blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned",13 (+1),"poison, psychic",,11 (0),33 (6d8+6),1 (-5),,,Animated Armor,,blindsight 60 ft. (blind beyond this radius),"Medium construct, unaligned",,25 ft.,14 (+2),http://chisaipete.github.io/bestiary/creature/animated-armor,3 (-4)
"Inscrutable.;; The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx’s intentions or sincerity have disadvantage.","||ADDENDUM||The androsphinx can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The androsphinx regains spent legendary actions at the start of its turn.",Claw Attack.;; The sphinx makes one claw attack.,"Teleport (Costs 2 Actions).;; The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.","Cast a Spell (Costs 3 Actions).;; The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.",,,,,,,Magic Weapons.;; The sphinx’s weapon attacks are magical.,,"Spellcasting.;; The sphinx is a 12th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 18, +10 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following cleric spells prepared:Cantrips (at will): sacred flame, spare the dying, thaumaturgy++1st level (4 slots): command, detect evil and good, detect magic++2nd level (3 slots): lesser restoration, zone of truth++3rd level (3 slots): dispel magic, tongues++4th level (3 slots): banishment, freedom of movement++5th level (2 slots): flame strike, greater restoration++6th level (1 slot): heroes’ feast",Multiattack.;; The sphinx makes two claw attacks.,"Claw.;; Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 17 (2d10 + 6) slashing damage.","Roar (3/Day).;; The sphinx emits a magical roar. Each time it roars before finishing a long rest, the roar is louder and the effect is different, as detailed below. Each creature within 500 feet of the sphinx and able to hear the roar must make a saving throw.","||ADDENDUM||First Roar. Each creature that fails a DC 18 Wisdom saving throw is frightened for 1 minute. A frightened creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","||ADDENDUM||Second Roar. Each creature that fails a DC 18 Wisdom saving throw is deafened and frightened for 1 minute. A frightened creature is paralyzed and can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","||ADDENDUM||Third Roar. Each creature makes a DC 18 Constitution saving throw. On a failed save, a creature takes 44 (8d10) thunder damage and is knocked prone. On a successful save, the creature takes half as much damage and isn’t knocked prone.",17 (natural armor),"17 (18,000 XP)",23 (+6),"charmed, frightened",20 (+5),"psychic, bludgeoning, piercing, and slashing from nonmagical weapons",,10 (0),199 (19d10+95),16 (+3),"Common, Sphinx",,Androsphinx,"Dex +6, Con +11, Int +9, Wis +10",truesight 120 ft.,"Large monstrosity, lawful neutral","Arcana +9, Perception +10, Religion +15","40 ft., fly 60 ft.",22 (+6),http://chisaipete.github.io/bestiary/creature/androsphinx,18 (+4)
"Ice Walk.;; The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn’t cost it extra moment.",,,,,,,,,,,"Legendary Resistance (3/Day).;; If the dragon fails a saving throw, it can choose to succeed instead.",,Multiattack.;; The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite.;; Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) cold damage.","Claw.;; Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.","Tail.;; Melee Weapon Attack: +14 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.","Frightful Presence.;; Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours .","Cold Breath (Recharge 5-6).;; The dragon exhales an icy blast in a 90-foot cone. Each creature in that area must make a DC 22 Constitution saving throw, taking 72 (l6d8) cold damage on a failed save, or half as much damage on a successful one.",,20 (natural armor),"20 (25,000 XP)",14 (+2),,26 (+8),cold,,10 (0),333 (18d20+144),10 (0),"Common, Draconic",,Ancient White Dragon,"Dex +6, Con +14, Wis +7, Cha +8","blindsight 60 ft., darkvision 120 ft.","Gargantuan dragon, chaotic evil","Perception +13, Stealth +6","40 ft., burrow 40 ft., fly 80 ft., swim 40 ft.",26 (+8),http://chisaipete.github.io/bestiary/creature/ancient-white-dragon,13 (+1)
"Legendary Resistance (3/Day).;; If the dragon fails a saving throw, it can choose to succeed instead.","Change Shape.;; The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon’s choice).","||ADDENDUM||In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.","||ADDENDUM||The ancient silver dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The ancient silver dragon regains spent legendary actions at the start of its turn.",Detect.;; The dragon makes a Wisdom (Perception) check.,Tail Attack.;; The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).;; The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,,,Multiattack.;; The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,"Bite.;; Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage.","Claw.;; Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage.","Tail.;; Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage.","Frightful Presence.;; Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.",Breath Weapons (Recharge 5-6).;; The dragon uses one of the following breath weapons.,"||ADDENDUM||Cold Breath. The dragon exhales an icy blast in a 90-foot cone. Each creature in that area must make a DC 24 Constitution saving throw, taking 67 (15d8) cold damage on a failed save, or half as much damage on a successful one.","||ADDENDUM||Paralyzing Breath. The dragon exhales paralyzing gas in a 90- foot cone. Each creature in that area must succeed on a DC 24 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",22 (natural armor),"23 (50,000 XP)",23 (+6),,29 (+9),cold,,10 (0),487 (25d20+225),18 (+4),"Common, Draconic",,Ancient Silver Dragon,"Dex +7, Con +16, Wis +9, Cha +13","blindsight 60 ft., darkvision 120 ft.","Gargantuan dragon, lawful good","Arcana +11, History +11, Perception +16, Stealth +7","40 ft., fly 80 ft.",30 (+10),http://chisaipete.github.io/bestiary/creature/ancient-silver-dragon,15 (+2)
"Legendary Resistance (3/Day).;; If the dragon fails a saving throw, it can choose to succeed instead.",Tail Attack.;; The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).;; The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,,,,,,,Multiattack.;; The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,"Bite.;; Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage plus 14 (4d6) fire damage.","Claw.;; Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage.","Tail.;; Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage.","Frightful Presence.;; Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.","Fire Breath (Recharge 5-6).;; The dragon exhales fire in a 90-foot cone. Each creature in that area must make a DC 24 Dexterity saving throw, taking 91 (26d6) fire damage on a failed save, or half as much damage on a successful one.","||ADDENDUM||The ancient red dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The ancient red dragon regains spent legendary actions at the start of its turn.",Detect.;; The dragon makes a Wisdom (Perception) check.,22 (natural armor),"24 (62,000 XP)",23 (+6),,29 (+9),fire,,10 (0),546 (28d20+252),18 (+4),"Common, Draconic",,Ancient Red Dragon,"Dex +7, Con +16, Wis +9, Cha +13","blindsight 60 ft., darkvision 120 ft.","Gargantuan dragon, chaotic evil","Perception +16, Stealth +7","40 ft., climb 40 ft., fly 80 ft.",30 (+10),http://chisaipete.github.io/bestiary/creature/ancient-red-dragon,15 (+2)
Amphibious.;; The dragon can breathe air and water.,Detect.;; The dragon makes a Wisdom (Perception) check.,Tail Attack.;; The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).;; The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,,,,,,"Legendary Resistance (3/Day).;; If the dragon fails a saving throw, it can choose to succeed instead.",,Multiattack.;; The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite.;; Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 10 (3d6) poison damage.","Claw.;; Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 22 (4d6 + 8) slashing damage.","Tail.;; Melee Weapon Attack: +15 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.","Frightful Presence.;; Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.","Poison Breath (Recharge 5-6).;; The dragon exhales poisonous gas in a 90-foot cone. Each creature in that area must make a DC 22 Constitution saving throw, taking 77 (22d6) poison damage on a failed save, or half as much damage on a successful one.","||ADDENDUM||The ancient green dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The ancient green dragon regains spent legendary actions at the start of its turn.",21 (natural armor),"22 (41,000 XP)",19 (+4),poisoned,25 (+7),poison,,12 (+1),385 (22d20+154),20 (+5),"Common, Draconic",,Ancient Green Dragon,"Dex +8, Con +14, Wis +10, Cha +11","blindsight 60 ft., darkvision 120 ft.","Gargantuan dragon, lawful evil","Deception +11, Insight +10, Perception +17, Persuasion +11, Stealth +8","40 ft., fly 80 ft., swim 40 ft.",27 (+8),http://chisaipete.github.io/bestiary/creature/ancient-green-dragon,17 (+3)
Amphibious.;; The dragon can breathe air and water.,"||ADDENDUM||Weakening Breath. The dragon exhales gas in a 90-foot cone. Each creature in that area must succeed on a DC 24 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Change Shape.;; The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon’s choice).","||ADDENDUM||In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.","||ADDENDUM||The ancient gold dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The ancient gold dragon regains spent legendary actions at the start of its turn.",Detect.;; The dragon makes a Wisdom (Perception) check.,Tail Attack.;; The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).;; The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,,"Legendary Resistance (3/Day).;; If the dragon fails a saving throw, it can choose to succeed instead.",,Multiattack.;; The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite.;; Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage.","Claw.;; Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage.","Tail.;; Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage.","Frightful Presence.;; Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 24 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.",Breath Weapons (Recharge 5-6).;; The dragon uses one of the following breath weapons.,"||ADDENDUM||Fire Breath. The dragon exhales fire in a 90-foot cone. Each creature in that area must make a DC 24 Dexterity saving throw, taking 71 (13d10) fire damage on a failed save, or half as much damage on a successful one.",22 (natural armor),"24 (62,000 XP)",28 (+9),,29 (+9),fire,,14 (+2),546 (28d20+252),18 (+4),"Common, Draconic",,Ancient Gold Dragon,"Dex +9, Con +16, Wis +10, Cha +16","blindsight 60 ft., darkvision 120 ft.","Gargantuan dragon, lawful good","Insight +10, Perception +17, Persuasion +16, Stealth +9","40 ft., fly 80 ft., swim 40 ft.",30 (+10),http://chisaipete.github.io/bestiary/creature/ancient-gold-dragon,17 (+3)
"Legendary Resistance (3/Day).;; If the dragon fails a saving throw, it can choose to succeed instead.","Change Shape.;; The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon’s choice).","||ADDENDUM||In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.","||ADDENDUM||The ancient copper dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The ancient copper dragon regains spent legendary actions at the start of its turn.",Detect.;; The dragon makes a Wisdom (Perception) check.,Tail Attack.;; The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).;; The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,,,Multiattack.;; The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,"Bite.;; Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage.","Claw.;; Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.","Tail.;; Melee Weapon Attack: +15 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.","Frightful Presence.;; Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.",Breath Weapons (Recharge 5-6).;; The dragon uses one of the following breath weapons.,"||ADDENDUM||Acid Breath. The dragon exhales acid in an 90-foot line that is 10 feet wide. Each creature in that line must make a DC 22 Dexterity saving throw, taking 63 (14d8) acid damage on a failed save, or half as much damage on a successful one.","||ADDENDUM||Slowing Breath. The dragon exhales gas in a 90-foot cone. Each creature in that area must succeed on a DC 22 Constitution saving throw. On a failed save, the creature can’t use reactions, its speed is halved, and it can’t make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.",21 (natural armor),"21 (33,000 XP)",19 (+4),,25 (+7),acid,,12 (+1),350 (20d20+140),20 (+5),"Common, Draconic",,Ancient Copper Dragon,"Dex +8, Con +14, Wis +10, Cha +11","blindsight 60 ft., darkvision 120 ft.","Gargantuan dragon, chaotic good","Deception +11, Perception +17, Stealth +8","40 ft., climb 40 ft., fly 80 ft.",27 (+8),http://chisaipete.github.io/bestiary/creature/ancient-copper-dragon,17 (+3)
