actions,armor_class,challenge,charisma,constitution,dexterity,hit_points,intelligence,languages,name,short_desc,skills,speed,strength,url,wisdom
" bludgeoning, piercing, and slashing from nonmagical weapons| If the peryton is flying and dives at least 30 ft. straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 9 (2d8) damage to the target.| The peryton doesn’t provoke an opportunity attack when it flies out of an enemy’s reach.| The peryton has advantage on Wisdom (Perception) checks that rely on sight or smell.| The peryton makes one gore attack and one talon attack.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) piercing damage.",13 (natural armor),2 (450 XP),10 (0),13 (+1),12 (+1),33 (6d8+6),9 (-1),understands Common and Elvish but can't speak,Peryton,"Medium monstrosity, chaotic evil",Perception +5,"20 ft., fly 60 ft.",16 (+3),http://chisaipete.github.io/bestiary/creature/peryton,12 (+1)
" The pentadrone can’t be compelled to act in a manner contrary to its nature or its instructions.| If the pentadrone dies, its body disintegrates into dust, leaving behind its weapons and anything else it was carrying.| The pentadrone makes five arm attacks.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.| The pentadrone exhales a 30-foot cone of gas. Each creature in that area must succeed on a DC 11 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",16 (natural armor),Modron,13 (+1),12 (+1),14 (+2),32 (5d10+5),10 (0),Perception +4,Pentadrone,"Medium construct, construct",truesight 120 ft.,40 ft.,15 (+2),http://chisaipete.github.io/bestiary/creature/pentadrone,10 (0)
" Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.",12,2 (450 XP),13 (+1),16 (+3),15 (+2),59 (7d10+21),10 (0),"understands Celestial, Common, Elvish, and Sylvan but can't speak",Pegasus,"Large celestial, chaotic good",Perception +6,"60 ft., fly 90 ft.",18 (+4),http://chisaipete.github.io/bestiary/creature/pegasus,15 (+2)
" The owlbear has advantage on Wisdom (Perception) checks that rely on sight or smell.| The owlbear makes two attacks: one with its beak and one with its claws.| Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 10 (1d10 + 5) piercing damage.| Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage.",13 (natural armor),3 (700 XP),7 (-2),17 (+3),12 (+1),59 (7d10+21),3 (-4),Perception +3,Owlbear,"Large monstrosity, unaligned",darkvision 60 ft.,40 ft.,20 (+5),http://chisaipete.github.io/bestiary/creature/owlbear,12 (+1)
" The owl doesn’t provoke opportunity attacks when it flies out of an enemy’s reach.| The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",11,0 (10 XP),7 (-2),8 (-1),13 (+1),1 (1d4-1),2 (-4),"Perception +3, Stealth +3",Owl,"Tiny beast, unaligned",darkvision 120 ft.,"5 ft., fly 60 ft.",3 (-4),http://chisaipete.github.io/bestiary/creature/owl,12 (+1)
" The otyugh can magically transmit simple messages and images to any creature within 120 ft. of it that can understand a language. This form of telepathy doesn’t allow the receiving creature to telepathically respond.| The otyugh makes three attacks: one with its bite and two with its tentacles.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) piercing damage. If the target is a creature, it must succeed on a DC 15 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the target must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. The disease is cured on a success. The target dies if the disease reduces its hit point maximum to 0. This reduction to the target’s hit point maximum lasts until the disease is cured.| Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage plus 4 (1d8) piercing damage. If the target is Medium or smaller, it is grappled (escape DC 13) and restrained until the grapple ends. The otyugh has two tentacles, each of which can grapple one target.| The otyugh slams creatures grappled by it into each other or a solid surface. Each creature must succeed on a DC 14 Constitution saving throw or take 10 (2d6 + 3) bludgeoning damage and be stunned until the end of the otyugh’s next turn. On a successful save, the target takes half the bludgeoning damage and isn’t stunned.",14 (natural armor),"5 (1,800 XP)",6 (-2),19 (+4),11 (0),114 (12d10+48),6 (-2),Otyugh,Otyugh,"Large aberration, neutral",darkvision 120 ft.,30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/otyugh,13 (+1)
" cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered| charmed, exhaustion, poisoned| The orthon can use a bonus action to become invisible. Any equipment the orthon wears or carries is also invisible as long as the equipment is on its person. This invisibility ends immediately after the orthon makes an attack roll or is hit by an attack.| The orthon has advantage on saving throws against spells and other magical effects.| Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 11 (2d4 + 6) slashing damage, and the target must make a DC 17 Constitution saving throw, taking 22 (4d10) poison damage on a failed save, or half as much damage on a successful one. On a failure, the target is poisoned for 1 minute. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.| Ranged Weapon Attack: +7 to hit, range 100/400 ft., one target. Hit: 14 (2d10 + 3) piercing damage, plus one of the following effects:| The target must make a DC 17 Constitution saving throw, taking an additional 17 (5d6) acid damage on a failed save, or half as much damage on a successful one.| The target takes 5 (1d10) radiant damage. In addition, the target and all other creatures within 20 feet of it must each make a successful DC 17 Dexterity saving throw or be blinded until the end of the orthon’s next turn.| The target and each creature within 20 feet of it must make a DC 17 Constitution saving throw, taking 13 (2d12) thunder damage on a failed save, or half as much damage on a successful one.| The target must make a successful DC 17 Dexterity saving throw or be restrained for 1 hour by strands of sticky webbing. A restrained creature can escape by using an action to make a successful DC 17 Dexterity or Strength check. Any creature other than an orthon that touches the restrained creature must make a successful DC 17 Dexterity saving throw or become similarly restrained.| The target takes 22 (4d10) lightning damage and must make a successful DC 17 Constitution saving throw or be paralyzed for 1 minute. The paralyzed target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.| For the next 24 hours, the orthon knows the direction and distance to the target, as long as it’s on the same plane of existence. If the target is on a different plane, the orthon knows which one, but not the exact location there.",17 (half plate),"Perception +10, Stealth +11, Survival +10",16 (+3),21 (+5),16 (+3),105  (10d10 + 50),15 (+2),"darkvision 120 ft., truesight 30 ft., passive Perception 20",Orthon,"Large fiend (devil), lawful evil","fire, poison","30 ft., climb 30 ft.",22 (+6),http://chisaipete.github.io/bestiary/creature/orthon,15 (+2)
" As a bonus action, the orog can move up to its speed toward a hostile creature that it can see.| The orog makes two greataxe attacks.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (1d12 + 4) slashing damage.| Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 7 (1d6 + 4) piercing damage.",18 (plate),"Common, Orc",12 (+1),18 (+4),12 (+1),42 (5d8+20),12 (+1),"Intimidation +5, Survival +2",Orog,"Medium humanoid (orc), chaotic evil",darkvision 60 ft.,30 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/orog,11 (0)
" Once per turn when Oreioth kills one or more creatures with a spell of 1st level or higher, he regains hit points equal to twice the spell’s level.| Oreioth is a 6th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 13, +5 to hit with spell attacks). He has the following wizard spells prepared:| When a living Medium or Small humanoid within 30 feet of Oreioth dies, he can use an action on his next turn to cast animate dead on that humanoid’s corpse, instead of using the spell’s normal casting time.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.",11 (14 with mage armor),2 (450 XP),11 (0),14 (+2),13 (+1),39 (6d8+12),16 (+3),"Abyssal, Common",Oreioth,"Medium humanoid (human), chaotic evil","Arcana +5, Investigation +5, Medicine +1",30 ft.,8 (-1),http://chisaipete.github.io/bestiary/creature/oreioth,9 (-1)
" cold, fire, lightning| charmed, exhaustion, frightened, poisoned| The wand has 7 charges, and any of its properties that require a saving throw have a save DC of 18. While holding it, Orcus can use an action to cast animate dead, blight, or speak with dead. Alternatively, he can expend 1 or more of the wand’s charges to cast one of the following spells from it: circle of death (1 charge), finger of death (1 charge), or power word kill (2 charges). The wand regains 1d4 + 3 charges daily at dawn.
While holding the wand, Orcus can use an action to conjure undead creatures whose combined average hit points don’t exceed 500. These undead magically rise up from the ground or otherwise form in unoccupied spaces within 300 feet of Orcus and obey his commands until they are destroyed or until he dismisses them as an action. Once this property of the wand is used, the property can’t be used again until the next dawn.| Orcus’s spellcasting ability is Charisma. He can innately cast the following spells, requiring no material components:| If Orcus fails a saving throw, he can choose to succeed instead.| Orcus has advantage on saving throws against spells and other magical effects.| Orcus’s weapon attacks are magical.| When Orcus casts animate dead or create undead, he chooses the level at which the spell is cast, and the creatures created by the spells remain under his control indefinitely. Additionally, he can cast create undead even when it isn’t night.| Orcus makes two Wand of Orcus attacks.| Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) bludgeoning damage plus 13 (2d12) necrotic damage.| Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) piercing damage plus 9 (2d8) poison damage.|Orcus can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Orcus regains spent legendary actions at the start of his turn.| Orcus makes one tail attack.| Orcus casts chill touch (17th level).| Orcus chooses a point on the ground that he can see within 100 feet of him. A cylinder of swirling necrotic energy 60 feet tall and with a 10-foot radius rises from that point and lasts until the end of Orcus’s next turn. Creatures in that area have vulnerability to necrotic damage.","17 (natural armor), 20 with the Wand of Orcus","Arcana +12, Perception +12",25 (+7),25 (+7),14 (+2),405  (30d12 + 210),20 (+5),"truesight 120 ft., passive Perception 22",Orcus,"Huge fiend (demon), chaotic evil","necrotic, poison; bludgeoning, piercing, and slashing from nonmagical attacks","40 ft., fly 40 ft.",27 (+8),http://chisaipete.github.io/bestiary/creature/orcus,20 (+5)
" As a bonus action, the orc can move up to its speed toward a hostile creature that it can see.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (1d12 + 3) slashing damage.| Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",13 (hide armor),"Common, Orc",10 (0),16 (+3),12 (+1),15 (2d8+6),7 (-2),Intimidation +2,Orc,"Medium humanoid (orc), chaotic evil",darkvision 60 ft.,30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/orc,11 (0)
" The oni’s innate spellcasting ability is Charisma (spell save DC 13). The oni can innately cast the following spells, requiring no material components:|At will: darkness, invisibility|1/day each: charm person, cone of cold, gaseous form, sleep| The oni’s weapon attacks are magical.| The oni regains 10 hit points at the start of its turn if it has at least 1 hit point.| The oni makes two attacks, either with its claws or its glaive.| Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.| Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 15 (2d10 + 4) slashing damage, or 9 (1d10 + 4) slashing damage in Small or Medium form.| The oni magically polymorphs into a Small or Medium humanoid, into a Large giant, or back into its true form. Other than its size, its statistics are the same in each form. The only equipment that is transformed is its glaive, which shrinks so that it can be wielded in humanoid form. If the oni dies, it reverts to its true form, and its glaive reverts to its normal size.",16 (chain mail),"Common, Giant",15 (+2),16 (+3),11 (0),110 (13d10+39),14 (+2),"Arcana +5, Deception +8, Perception +4",Oni,"Large giant, lawful evil",darkvision 60 ft.,"30 ft., fly 30 ft.",19 (+4),http://chisaipete.github.io/bestiary/creature/oni,12 (+1)
" lightning; bludgeoning, piercing, and slashing from nonmagical weapons| charmed, frightened, paralyzed, petrified, poisoned, prone, restrained| Olhydra’s slam attacks are treated as magical for the purpose of bypassing resistance and immunity to nonmagical weapons.| Olhydra’s innate spellcasting ability is Charisma (spell save DC 20, +12 to hit with spell attacks). She can innately cast the following spells, requiring no material components:| If Olhydra fails a saving throw, she can choose to succeed instead.| Olhydra has advantage on saving throws against spells and other magical effects.| Olhydra can enter a hostile creature’s space and stop there. She can move through a space as narrow as 1 inch wide without squeezing.| Olhydra makes two slam attacks or two water jet attacks.| Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 21 (3d10 + 5) bludgeoning damage, and the target is grappled (escape DC 19). Olhydra can grapple up to four targets. When Olhydra moves, all creatures she is grappling move with her.| Ranged Weapon Attack: +12 to hit, range 120 ft., one target. Hit: 21 (6d6) bludgeoning damage, and the target is knocked prone if it fails a DC 19 Strength saving throw.| Olhydra summons up to three water elementals and loses 30 hit points for each elemental she summons. Summoned elementals have maximum hit points, appear within 100 feet of Olhydra, and disappear if Olhydra is reduced to 0 hit points.|The olhydra can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The olhydra regains spent legendary actions at the start of its turn.| One creature that Olhydra is grappling is crushed for 21 (3d10 + 5) bludgeoning damage.| Olhydra releases one creature she is grappling by flinging the creature up to 60 feet away from her, in a direction of her choice. If the flung creature comes into contact with a solid surface, such as a wall or floor, the creature takes 1d6 bludgeoning damage for every 10 feet it was flung.| Olhydra transforms her watery body into acid. This effect lasts until Olhydra’s next turn. Any creature that comes into contact with Olhydra or hits her with a melee attack while standing within 5 feet of her takes 11 (2d10) acid damage. Any creature grappled by Olhydra takes 22 (4d10) acid damage at the start of its turn.",18 (natural armor),Aquan,23 (+6),24 (+7),22 (+6),324 (24d12+168),17 (+3),blindsight 120 ft.,Olhydra,"Huge elemental, neutral evil","acid, cold, poison","50 ft., swim 100 ft.",21 (+5),http://chisaipete.github.io/bestiary/creature/olhydra,18 (+4)
" cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks| poisoned| As a bonus action, the oinoloth blights the area within 30 feet of it. The blight lasts for 24 hours. While blighted, all normal plants in the area wither and die, and the number of hit points restored by a spell to a creature in that area is halved.
Furthermore, when a creature moves into the blighted area or starts its turn there, that creature must make a DC 16 Constitution saving throw. On a successful save, the creature is immune to the oinoloth’s Bringer of Plagues for the next 24 hours. On a failed save, the creature takes 14 (4d6) necrotic damage and is poisoned.
The poisoned creature can’t regain hit points. After every 24 hours that elapse, the poisoned creature can repeat the saving throw. On a failed save, the creature’s hit point maximum is reduced by 5 (1d10). This reduction lasts until the poison ends, and the target dies if its hit point maximum is reduced to 0. The poison ends after the creature successfully saves against it three times.| The oinoloth’s innate spellcasting ability is Charisma (spell save DC 16). It can innately cast the following spells, requiring no material components:| The oinoloth has advantage on saving throws against spells and other magical effects.| The oinoloth’s weapon attacks are magical.| The oinoloth uses its Transfixing Gaze and makes two claw attacks.| Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (3d6 + 4) slashing damage plus 22 (4d10) necrotic damage.| The oinoloth touches one willing creature within 5 feet of it. The target regains all its hit points. In addition, the oinoloth can end one disease on the target or remove one of the following conditions from it: blinded, deafened, paralyzed, or poisoned. The target then gains 1 level of exhaustion, and its hit point maximum is reduced by 7 (2d6). This reduction can be removed only by a wish spell or by casting greater restoration on the target three times within the same hour. The target dies if its hit point maximum is reduced to 0.| The oinoloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.| The oinoloth targets one creature it can see within 30 feet of it. The target must succeed on a DC 16 Wisdom saving throw against this magic or be charmed until the end of the oinoloth’s next turn. While charmed in this way, the target is restrained. If the target’s saving throw is successful, the target is immune to the oinoloth’s gaze for the next 24 hours.",17 (natural armor),"Deception +8, Intimidation +8, Perception +7",19 (+4),18 (+4),17 (+3),126  (12d10 + 60),17 (+3),"blindsight 60 ft., darkvision 60 ft., passive Perception 17",Oinoloth,"Medium fiend (yugoloth), neutral evil","acid, poison",40 ft.,19 (+4),http://chisaipete.github.io/bestiary/creature/oinoloth,16 (+3)
" bludgeoning, piercing, and slashing from nonmagical weapons| charmed, frightened, paralyzed, petrified, poisoned, prone| Ogremoch’s slam attacks are treated as magical and adamantine for the purpose of bypassing resistance and immunity to nonmagical weapons.| Ogremoch’s innate spellcasting ability is Charisma (spell save DC 20, +12 to hit with spell attacks). He can innately cast the following spells, requiring no material components:| If Ogremoch fails a saving throw, he can choose to succeed instead.| Ogremoch has advantage on saving throws against spells and other magical effects.| Ogremoch deals double damage to objects and structures with his melee and ranged weapon attacks.| Ogremoch makes two slam attacks.| Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 30 (4d10 + 8) bludgeoning damage.| Ranged Weapon Attack: +6 to hit, range 500 ft., one target. Hit: 46 (7d10 + 8) bludgeoning damage. If the target is a creature, it must succeed on a DC 23 Strength saving throw or be knocked prone.| Ogremoch summons up to three earth elementals and loses 30 hit points for each elemental he summons. Summoned elementals have maximum hit points, appear within 100 feet of Ogremoch, and disappear if Ogremoch is reduced to 0 hit points.|The ogremoch can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The ogremoch regains spent legendary actions at the start of its turn.| Ogremoch’s crystalline protrusions flare. Each creature within 30 feet of Ogremoch becomes outlined in orange light, shedding dim light in a 10-foot radius. Any attack roll against an affected creature has advantage if the attacker can see it, and the affected creature can’t benefit from being invisible.| Ogremoch stomps the ground, creating an earth tremor that extends in a 30-foot radius. Other creatures standing on the ground in that radius must succeed on a DC 23 Dexterity saving throw or fall prone.| Ogremoch’s hit points are reduced by 50 as he breaks off a chunk of his body and places it on the ground in an unoccupied space within 15 feet of him. The chunk of rock instantly transforms into a gargoyle and acts on the same initiative count as Ogremoch. Ogremoch can’t use this action if he has 50 hit points or fewer. The gargoyle obeys Ogremoch’s commands and fights until destroyed.",20 (natural armor),"Common, Terran",22 (+6),28 (+9),11 (0),526 (27d20+243),11 (0),"blindsight 120 ft., tremorsense 120 ft.",Ogremoch,"Gargantuan elemental, neutral evil",poison,"50 ft., burrow 50 ft.",26 (+8),http://chisaipete.github.io/bestiary/creature/ogremoch,15 (+2)
" Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage.| Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 11 (2d6 + 4) piercing damage.",11 (hide armor),2 (450 XP),7 (-2),16 (+3),8 (-1),59 (7d10+21),5 (-3),"Common, Giant",Ogre,"Large giant, chaotic evil",darkvision 60 ft.,40 ft.,19 (+4),http://chisaipete.github.io/bestiary/creature/ogre,7 (-2)
" While out of water, the octopus can hold its breath for 30 minutes.| The octopus has advantage on Dexterity (Stealth) checks made while underwater.| The octopus can breathe only underwater.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage, and the target is grappled (escape DC 10). Until this grapple ends, the octopus can’t use its tentacles on another target.| A 5-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.",12,0 (10 XP),4 (-3),11 (0),15 (+2),3 (1d6),3 (-4),"Perception +2, Stealth +4",Octopus,"Small beast, unaligned",darkvision 30 ft.,"5 ft., swim 30 ft.",4 (-3),http://chisaipete.github.io/bestiary/creature/octopus,10 (0)
" cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons| poisoned| The nycaloth’s innate spellcasting ability is Charisma. The nycaloth can innately cast the following spells, requiring no material components:|At will: darkness, detect magic, dispel magic, invisibility (self only), mirror image| The nycaloth has advantage on saving throws against spells and other magical effects.| The nycaloth’s weapon attacks are magical.| The nycaloth makes two melee attacks, or it makes one melee attack and teleports before or after the attack.| Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage. If the target is a creature, it must succeed on a DC 16 Constitution saving throw or take 5 (2d4) slashing damage at the start of each of its turns due to a fiendish wound. Each time the nycaloth hits the wounded target with this attack, the damage dealt by the wound increases by 5 (2d4). Any creature can take an action to stanch the wound with a successful DC 13 Wisdom (Medicine) check. The wound also closes if the target receives magical healing.| Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 18 (2d12 + 5) slashing damage.| The nycaloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.| The yugoloth chooses what to summon and attempts a magical summoning.|A nycaloth has a 50 percent chance of summoning 1d4 mezzoloths or one nycaloth.|A summoned yugoloth appears in an unoccupied space within 60 feet of its summoner, does as it pleases, and can’t summon other yugoloths. The summoned yugoloth remains for 1 minute, until it or its summoner dies, or until its summoner takes a bonus action to dismiss it.",18 (natural armor),"Intimidation +6, Perception +4, Stealth +4",15 (+2),19 (+4),11 (0),123 (13d10+52),12 (+1),"blindsight 60 ft., darkvision 60 ft.",Nycaloth,"Large fiend (yugoloth), neutral evil","acid, poison","40 ft., fly 60 ft.",20 (+5),http://chisaipete.github.io/bestiary/creature/nycaloth,10 (0)
" acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered| blinded, charmed, frightened, poisoned| Any creature, other than a devil, that starts its turn within 20 feet of the nupperibo must make a DC 11 Constitution saving throw. A creature within the areas of two or more nupperibos makes the saving throw with disadvantage. On a failure, the creature takes 2 (1d4) piercing damage.| In the Nine Hells, the nupperibos can flawlessly track any creature that has taken damage from any nupperibo’s Cloud of Vermin within the previous 24 hours.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",13 (natural armor),Perception +1,1 (-4),13 (+1),11 (0),11  (2d8 + 2),3 (-3),"blindsight 10 ft. (blind beyond this radius), passive Perception 11",Nupperibo,"Medium fiend (devil), lawful evil","fire, poison",20 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/nupperibo,8 (-1)
" The nothic has advantage on Wisdom (Perception) checks that rely on sight.| The nothic makes two claw attacks.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.| The nothic targets one creature it can see within 30 ft. of it. The target must succeed on a DC 12 Constitution saving throw against this magic or take 10 (3d6) necrotic damage.| The nothic targets one creature it can see within 30 ft. of it. The target must contest its Charisma (Deception) check against the nothic’s Wisdom (Insight) check. If the nothic wins, it magically learns one fact or secret about the target. The target automatically wins if it is immune to being charmed.",15 (natural armor),Undercommon,8 (-1),16 (+3),16 (+3),45 (6d8+18),13 (+1),"Arcana +3, Insight +4, Perception +2, Stealth +5",Nothic,"Medium aberration, neutral evil",truesight 120 ft.,30 ft.,14 (+2),http://chisaipete.github.io/bestiary/creature/nothic,10 (0)
" Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) piercing damage.| The noble adds 2 to its AC against one melee attack that would hit it. To do so, the noble must see the attacker and be wielding a melee weapon.",15 (breastplate),1/8 (25 XP),16 (+3),11 (0),12 (+1),9 (2d8),12 (+1),any two languages,Noble,"Medium humanoid (any race), any alignment","Deception +5, Insight +4, Persuasion +5",30 ft.,11 (0),http://chisaipete.github.io/bestiary/creature/noble,14 (+2)
" The nilbog’s innate spellcasting ability is Charisma (spell save DC 12). It can innately cast the following spells, requiring no material components:|At will: mage hand, Tasha’s hideous laughter, vicious mockery 1/day: confusion| Any creature that attempts to damage the nilbog must first succeed on a DC 12 Charisma saving throw or be charmed until the end of the creature’s next turn. A creature charmed in this way must use its action praising the nilbog. The nilbog can’t regain hit points, including through magical healing, except through its Reversal of Fortune reaction.| The nilbog can take the Disengage or Hide action as a bonus action on each of its turns.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6+2) bludgeoning damage.| Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 5 (1d6+2) piercing damage.| In response to another creature dealing damage to the nilbog, the nilbog reduces the damage to 0 and regains 1d6 hit points.",13 (leather armor),"Common, Goblin",15 (+2),10 (0),14 (+2),7 (2d6),10 (0),Stealth +6,Nilbog,"Small humanoid (goblinoid), chaotic evil",darkvision 60 ft.,30 ft.,8 (-1),http://chisaipete.github.io/bestiary/creature/nilbog,8 (-1)
" acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks| exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained| Any creature that starts its turn within 30 feet of the nightwalker must succeed on a DC 21 Constitution saving throw or take 14 (4d6) necrotic damage and grant the nightwalker advantage on attack rolls against it until the start of the creature’s next turn. Undead are immune to this aura.| A creature reduced to 0 hit points from damage dealt by the nightwalker dies and can’t be revived by any means short of a wish spell.| The nightwalker uses Enervating Focus twice, or it uses Enervating Focus and Finger of Doom, if available.| Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 28 (5d8 + 6) necrotic damage. The target must succeed on a DC 21 Constitution saving throw or its hit point maximum is reduced by an amount equal to the necrotic damage taken. This reduction lasts until the target finishes a long rest.| The nightwalker points at one creature it can see within 300 feet of it. The target must succeed on a DC 21 Wisdom saving throw or take 26 (4d12) necrotic damage and become frightened until the end of the nightwalker’s next turn. While frightened in this way, the creature is also paralyzed. If a target’s saving throw is successful, the target is immune to the nightwalker’s Finger of Doom for the next 24 hours.",14,-,8 (-1),24 (+7),19 (+4),297  (22d12 + 154),6 (-2),"darkvision 120 ft., passive Perception 9",Nightwalker,"Huge undead, chaotic evil","necrotic, poison","40 ft., fly 40 ft.",22 (+6),http://chisaipete.github.io/bestiary/creature/nightwalker,9 (0)
" The nightmare can grant resistance to fire damage to anyone riding it.| The nightmare sheds bright light in a 10-foot radius and dim light for an additional 10 feet.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage plus 7 (2d6) fire damage.| The nightmare and up to three willing creatures within 5 feet of it magically enter the Ethereal Plane from the Material Plane, or vice versa.",13 (natural armor),3 (700 XP),15 (+2),16 (+3),15 (+2),68 (8d10+24),10 (0),"understands Abyssal, Common, and Infernal but can't speak",Nightmare,"Large fiend, neutral evil",fire,"60 ft., fly 90 ft.",18 (+4),http://chisaipete.github.io/bestiary/creature/nightmare,13 (+1)
" charmed, frightened, poisoned| Neronvain adds his Charisma bonus to his AC (included).| Magic can’t put Neronvain to sleep.| Neronvain makes two attacks, either with his shortsword or Eldritch Arrow.| Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage plus 13 (3d8) poison damage.| Ranged Spell Attack: +7 to hit, range 120 ft., one target. Hit: 11 (2d10) force damage plus 9 (2d8) poison damage.| Poison gas fills a 20-foot-radius sphere centered on a point Neronvain can see within 50 feet of him. The gas spreads around corners and remains until the start of Neronvain’s next turn. Each creature that starts its turn in the gas must succeed on a DC 16 Constitution saving throw or be poisoned for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. »>",17,"Arcana +7, Perception +5",18 (+4),15 (+2),17 (+3),117 (18d8+36),16 (+3),darkvision 60 ft.,Neronvain,"Medium humanoid (elf), neutral evil",poison,30 ft.,8 (-1),http://chisaipete.github.io/bestiary/creature/neronvain,13 (+1)
